object_id;federal_state;district;lor_2021;year_accident;month_accident;hour_accident;weekday;accident_category;accident_type;accident_subtype;light_conditions;accident_involving_bicycle;accident_involving_passenger_car;accident_involving_pedestrian;accident_involving_motorcycle;accident_involving_truck;accident_involving_other;road_condition;coordinates_1a;coordinates_2a;coordinates_1b;coordinates_2b
215308;11;Charlottenburg-Wilmersdorf;4300518.0;2021;9;9;6;3;5;3;0;1;1;0;0;0;0;0;792459,6341;5827986,008;13,31162276;52,52331999
215306;11;Neukoelln;8100312.0;2021;9;20;4;3;1;5;2;1;1;0;0;0;0;1;801397,9843;5823939,718;13,43931144;52,48218523
215305;11;Mitte;1100308.0;2021;9;14;5;3;5;2;0;1;1;0;0;0;0;0;796372,6547;5829441,851;13,37042758;52,53425731
215304;11;Lichtenberg;11300722.0;2021;8;17;5;3;0;1;0;1;0;0;0;0;0;1;803852,2022;5828356,063;13,47936984;52,52040768
215297;11;Neukoelln;8100417.0;2021;9;8;3;3;5;2;0;1;1;0;0;0;0;0;802489,755;5823165,467;13,45463718;52,47464192
215296;11;Pankow;3400721.0;2021;9;18;2;3;1;5;1;1;1;0;0;0;0;0;798026,0671;5833398,159;13,39828275;52,56881866
215294;11;Mitte;1200628.0;2021;9;12;6;2;5;2;0;1;1;0;0;0;0;0;795704,2147;5828178,002;13,35947746;52,5232911
215292;11;Friedrichshain-Kreuzberg;2200210.0;2021;9;2;5;2;0;7;2;1;0;0;0;0;0;1;798583,7839;5825147,584;13,39907638;52,49455826
215288;11;Treptow-Koepenick;9300920.0;2021;9;16;2;3;5;2;0;1;1;0;0;0;0;0;807697,6704;5817815,323;13,52614594;52,42378425
215285;11;Charlottenburg-Wilmersdorf;4501149.0;2021;9;10;6;3;5;2;0;1;1;0;0;0;0;0;793483,0773;5824039,788;13,32318568;52,48739394
215283;11;Spandau;5100211.0;2021;9;17;3;3;5;2;0;1;1;0;0;0;0;0;781904,4675;5829560,757;13,15780108;52,5430001
215280;11;Neukoelln;8100520.0;2021;8;17;2;3;5;3;0;1;1;0;0;0;0;0;803151,4103;5822964,606;13,46416645;52,47247479
215277;11;Mitte;1300835.0;2021;9;6;3;3;0;2;0;1;1;0;0;0;0;0;797764,0978;5829743,991;13,3911517;52,53620723
215276;11;Steglitz-Zehlendorf;6200313.0;2021;9;14;6;2;5;3;0;1;1;0;0;0;0;1;794984,656;5818414,391;13,34026451;52,43615629
215271;11;Charlottenburg-Wilmersdorf;4501043.0;2021;9;16;5;3;5;2;0;1;1;0;0;0;0;0;792588,358;5824842,484;13,31075136;52,49507015
215270;11;Tempelhof-Schoeneberg;7100102.0;2021;9;23;5;3;1;5;2;1;1;0;0;0;0;0;795288,529;5825172,99;13,35070236;52,49657876
